tag,title,date,link,cover
books,Delenda e o Vale dos Segredos,2015,https://madras.com.br/delenda-e-o-vale-dos-segredos,
books,Noite à Deriva,2017,https://www.amazon.com.br/Noite-Deriva-contos-poemas-sombrios-ebook/dp/B071S6R4HN,
tales,A Dama dos Corvos,2011,,
tales,A Lenda de Kauane,2011,,
tales,O Ato de Antes,2011,,
tales,O Inferno de Barbanegra,2012,,
tales,O Talismã de Tyet,2017,,
tales,Monstro Paradoxal,2019,,
tales,A Fuga de Valeriano,2020,,
tales,Nunca mais Adeline,2020,,
poems,Poema — exemplo 1,2018,,
poems,Poema — exemplo 2,2019,,
articles,Artigo — exemplo 1,2017,,
articles,Artigo — exemplo 2,2018,,
anthologies,SteamPink,2011,,
anthologies,VII Demônios — Ira,2011,,
anthologies,Quente,2011,,
anthologies,Piratas: Os Senhores das Águas Sombrias,2012,,
anthologies,Vampiro: Um Livro Colaborativo,2017,,
anthologies,"Eu, Monstro",2019,,
anthologies,Contos de Tarot,2020,,
anthologies,23 Formas de Morrer,2020,,
anthologies,Sala de Cirurgia,2019,https://www.amazon.com.br/Sala-Cirurgia-V%C3%A1rios-Autores/dp/8590689379,
skoob,Delenda e o Vale dos Segredos,2015,https://www.skoob.com.br/pt/author/4162,
skoob,Noite à Deriva,2017,https://www.skoob.com.br/pt/author/4162,
skoob,Sala de Cirurgia,2019,https://www.skoob.com.br/pt/author/4162,
skoob,SteamPink,2011,https://www.skoob.com.br/pt/author/4162,
skoob,VII Demônios — Ira,2011,https://www.skoob.com.br/pt/author/4162,
skoob,Quente,2011,https://www.skoob.com.br/pt/author/4162,
skoob,Piratas: Os Senhores das Águas Sombrias,2012,https://www.skoob.com.br/pt/author/4162,
skoob,Vampiro: Um Livro Colaborativo,2017,https://www.skoob.com.br/pt/author/4162,
skoob,"Eu, Monstro",2019,https://www.skoob.com.br/pt/author/4162,
skoob,Contos de Tarot,2020,https://www.skoob.com.br/pt/author/4162,
skoob,23 Formas de Morrer,2020,https://www.skoob.com.br/pt/author/4162,
